﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:15MJ5NThPjj6xhPcts8MiY","Take My Breath Away - Love Theme from "Top Gun"","Berlin","Top Gun - Motion Picture Soundtrack (Special Expanded Edition)","1","5","255733","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:3W8KQQD2FZPLVqflvYYyjT","Total Eclipse of the Heart","Bonnie Tyler","Heaven & Hell","1","6","270040","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:1uI848raFaNWwe9HjHpjQ5","Boys - Summertime Love","Sabrina","Sabrina","1","4","234812","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:17OqI90oTFZ3J8PVu6j07V","Voulez-Vous","ABBA","Voulez-Vous","1","2","309173","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:6ddGMJTmtapCZLQHb7J4wh","Proper Ecucation - Original Mix","Luca Debonaire, Fabian","Proper Education","1","1","299520","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:18AXbzPzBS8Y3AkgSxzJPb","In The Air Tonight - 2015 Remastered","Phil Collins","Face Value (Deluxe Editon)","1","1","336453","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:7gUMShP1l20tC0xf17Zplk","Ride Like the Wind","Christopher Cross","Christopher Cross","1","6","275506","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:0HtY7ILTZVSd4i44FuOrur","Jolene - Dumplin' Remix","Dolly Parton, DJ Ricky Luna","Dumplin' Original Motion Picture Soundtrack","1","14","204049","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:2u96akbqgCRtkjfLMYrgZo","Don't You (Forget About Me) - 2001 Mix","Simple Minds","Celebrate (Greatest Hits / Expanded Edition)","2","1","260773","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:7azo4rpSUh8nXgtonC6Pkq","Thriller","Michael Jackson","Scream","1","2","358053","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:2zArRH8bxhNWrovagUpMHZ","Taj Mahal - Club Dance Version","Jorge Ben Jor","Ben Jor (World Dance)","1","10","452400","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
